Address,lat,lng
183 BAY 10TH STREET                      ,40.607099,-74.01244400000002
8825 16TH   AVENUE                       ,40.6054745,-74.011799
8794 17TH AVENUE                         ,40.604786,-74.009275
8794 19TH   AVENUE                       ,40.602191,-74.004756
184 BAY 26TH   STREET                    ,40.600121,-74.000873
2066 BATH AVENUE                         ,40.599983,-73.999848
198 BAY 28TH STREET                      ,40.5989575,-73.9996725
8788 BAY PARKWAY                         ,40.59823300000001,-73.99810599999999
8908 15TH AVENUE                         ,40.605422,-74.016116
305 BAY 10TH STREET                      ,40.604712,-74.01491
303 BAY 10TH STREET                      ,40.604755,-74.014865
270 BAY 11TH STREET                      ,40.605154,-74.013994
8659 BAY 16TH   STREET                   ,40.606809,-74.005129
8659 BAY 16 STREET                       ,40.606809,-74.005129
8657 BAY 16TH   STREET                   ,40.606846,-74.0050909
70 BAY 20TH STREET                       ,40.605148,-74.002813
57 BAY 20TH   STREET                     ,40.6052318,-74.002359
8616 19TH   AVENUE                       ,40.6056754,-74.00110339999999
21 BAY 22ND   STREET                     ,40.6049157,-74.0001025
33 BAY 26TH   STREET                     ,40.602866,-73.997292
33 BAY 26TH STREET                       ,40.602866,-73.997292
68 BAY 28TH   STREET                     ,40.601607,-73.996901
1613 BATH AVENUE                         ,40.606627,-74.010173
8711 BAY 16TH   STREET                   ,40.6057922,-74.00640779999999
1758 BENSON AVENUE                       ,40.6056896,-74.0050143
8744 18TH AVE                            ,40.604433,-74.006
8750 18TH AVENUE                         ,40.6044582,-74.0058202
8752 18TH AVENUE                         ,40.6044016,-74.00586109999999
8754 18TH   AVENUE                       ,40.6043546,-74.0059097
8756 18TH AVENUE                         ,40.6043168,-74.0059488
8760 18TH   AVENUE                       ,40.6042299,-74.0060386
2102 BENSON AVENUE                       ,40.6012978,-73.9978476
2108 BENSON AVENUE                       ,40.6012344,-73.9977429
127 BAY 28TH   STREET                    ,40.6001758,-73.9980453
121 BAY 28TH   STREET                    ,40.600109,-73.997755
225 BAY 7TH STREET                       ,40.607636,-74.015438
187 BAY 19TH   STREET                    ,40.6031078,-74.00575529999999
253 BAY 14TH   STREET                    ,40.6039341,-74.0110954
8659 16TH AVENUE                         ,40.608749,-74.00825999999999
55 BAY 14TH   STREET                     ,40.6078664,-74.0066719
15 BAY 23RD   STREET                     ,40.604518,-73.99917599999999
8672 21ST   AVENUE                       ,40.60205029999999,-73.99773309999999
68 BAY 28 STREET                         ,40.601607,-73.996901
45 BAY 28TH   STREET                     ,40.6017511,-73.99608549999999
149 BAY 13 STREET                        ,40.606483,-74.00929099999999
141 BAY 13TH STREET                      ,40.606592,-74.0091769
121 BAY 28TH STREET                      ,40.600109,-73.997755
8758 BAY PARKWAY                         ,40.5989382,-73.9973593
159 BAY 29TH   STREET                    ,40.59913299999999,-73.9976381
1869 CROPSEY AVENUE                      ,40.6017699,-74.0052141
1859-1861 CROPSEY AVENUE                 ,40.60185269999999,-74.0055307
194 BAY 22ND STREET                      ,40.6017604,-74.0039469
65 BAY 19TH   STREET                     ,40.6056556,-74.00284289999999
"1265 SHORE PARKWAY, C2                   ",40.60155899999999,-74.0104152
"8853 BAY 16TH STREET, 3D                 ",40.6029246,-74.0093852
"304 BAY 17TH STREET, 3B                  ",40.6016071,-74.0099407
"8909 BAY 16TH STREET, 3D                 ",40.6020771,-74.0101391
"268 BAY 17TH STREET, A2                  ",40.6628551,-73.9902471
"8867 BAY 16TH STREET, 3C                 ",40.6026771,-74.00962849999999
"8853 BAY 16TH STREET, 2A                 ",40.6029246,-74.0093852
"1259 SHORE PARKWAY, D3                   ",40.6015706,-74.0104977
"280 BAY 19TH STREET, B                   ",40.60127689999999,-74.0079607
"290 BAY 19TH STREET, A                   ",40.6010986,-74.0081378
"254 BAY19TH STREET, A                    ",40.6018142,-74.00744639999999
"294 BAY 19TH STREET, B                   ",40.6010721,-74.0082797
"256 BAY 19TH STREET, 256B                ",40.601804,-74.0074429
"249 BAY 19TH STREET, B                   ",40.6017264,-74.0070207
"287 BAY 19TH STREET, B                   ",40.6009389,-74.007881
"8986 15TH AVENUE, 1B                     ",40.6039229,-74.01755519999999
"381 BAY 8TH STREET, 2B                   ",40.66833099999999,-73.98228499999999
"377 BAY 8TH STREET, 1B                   ",40.6043186,-74.017901
"377 BAY 8TH STREET, 2B                   ",40.6043126,-74.0178814
"1051 SHORE PARKWAY, 1B                   ",40.6034649,-74.0164717
"1553 INDEPENDENCE AVE, 1B                ",40.6036001,-74.0154261
"1039 SHORE PARKWAY, 2B                   ",40.603506,-74.016881
"1525 INDEPENDENCE AVENUE, 2B             ",40.6038112,-74.016308
"1553 INDEPENDENCE AVENUE, 2B             ",40.6036001,-74.0154261
"1051 SHORE PARKWAY, 2B                   ",40.6034649,-74.0164717
"8971 15TH AVENUE, 1B                     ",40.6039689,-74.01701539999999
"1059 SHORE PARKWAY, 1A                   ",40.6033439,-74.0162522
"8977 15TH AVENUE, 2B                     ",40.6038834,-74.0171167
"1571 INDEPENDENCE AVE, IB                ",40.603489,-74.0148226
"1521 INDEPENDENCE AVENUE, A1             ",40.6038408,-74.0164303
"1559 INDEPENDENCE AVENUE, 2B             ",40.6035544,-74.0151921
"30 BAY 29TH   STREET, 3J                 ",40.6018152,-73.9955155
"200 BAY 22ND   STREET, B2                ",40.6016449,-74.0040662
"8814 BAY PARKWAY, 1H                     ",40.597739,-73.9986289
"8814 BAY PARKWAY, 1E                     ",40.597739,-73.9986289
8686 BAY PARKWAY                         ,40.6001512,-73.9961376
1642 BATH AVENUE                         ,40.605644,-74.0095879
2064 BATH AVE                            ,40.600053,-73.9999253
2150 BATH AVENUE                         ,40.598769,-73.998139
15 BAY 29TH   STREET                     ,40.6018727,-73.9947854
15 BAY 29 STREET                         ,40.6018727,-73.9947854
120 BAY 29TH STREET                      ,40.6001059,-73.997305
122 BAY 29TH   STREET                    ,40.5999225,-73.99719360000002
189 BAY 23RD   STREET                    ,40.6012604,-74.0026493
"153 BAY 26TH STREET, 1A                  ",40.6005261,-73.99981770000001
8660-8662 18TH AVENUE                    ,40.606327,-74.004035
2076 86TH   STREET                       ,40.6033301,-73.9965902
8746 20TH AVENUE                         ,40.601889,-74.001451
269 BAY 8TH STREET                       ,40.6063202,-74.01578909999999
8655 BAY 16TH   STREET                   ,40.6069208,-74.0051101
