Address,lat,lng
156 LIPSETT AVENUE                       ,40.5339216,-74.17375779999999
35 RAE AVENUE                            ,40.5365779,-74.17412
88 NEWTON STREET                         ,40.5272219,-74.1744937
310 PHILIP AVENUE                        ,40.52804,-74.176951
5190 AMBOY ROAD                          ,40.534922,-74.1833254
113 ARBUTUS AVENUE                       ,40.531793,-74.18338899999999
736 ANNADALE ROAD                        ,40.5439814,-74.1767898
137 BENNETT AVENUE                       ,40.8546834,-73.9345567
EDGEGROVE AVENUE                         ,40.5378649,-74.191912
NORTH RAILROAD ST                        ,40.5389831,-74.1852699
N/A DETROIT AVENUE                       ,40.5440942,-74.1791586
IONIA AVENUE                             ,40.538533,-74.1922319
HEENAN AVENUE                            ,40.54267189999999,-74.188261
HYLAN BOULEVARD                          ,40.5464584,-74.1414633
LIPSETT AVENUE                           ,40.52689790000001,-74.169327
477 BERTRAM AVENUE                       ,40.52377,-74.17410699999999
CROWN PLACE                              ,40.5459112,-74.1915114
HOGAN AVENUE                             ,42.9007157,-77.6162409
84 GARY STREET                           ,40.561063,-74.181248
93 GARY STREET                           ,40.561468,-74.18154299999999
21 BILLINGS STREET                       ,40.5619821,-74.1814962
31 BILLINGS STREET                       ,40.5619821,-74.1814962
163 KENILWORTH AVENUE                    ,40.5619591,-74.1826524
159 KENILWORTH AVENUE                    ,40.5620871,-74.1826775
155 KENILWORTH AVENUE                    ,40.56221499999999,-74.1827027
29 CHATHAM STREET                        ,40.562888,-74.1816939
127 KENILWORTH AVENUE                    ,40.562879,-74.1825621
14 BENSON STREET                         ,40.7166588,-74.003145
23 BENSON STREET                         ,40.7170348,-74.0028556
27 BENSON STREET                         ,40.7170348,-74.0028556
65 BENSON STREET                         ,40.7170348,-74.0028556
1282 ARTHUR KILL ROAD                    ,40.565227,-74.18306799999999
1278 ARTHUR KILL ROAD                    ,40.56524,-74.18296699999999
8 BENSON STREET                          ,40.716634,-74.00316699999999
42 KENILWORTH AVENUE                     ,40.564566,-74.183498
82 KENILWORTH AVENUE                     ,40.5638099,-74.183336
110 KENILWORTH AVENUE                    ,40.563146,-74.18319799999999
134 KENILWORTH AVENUE                    ,40.562645,-74.183093
361 WOODROW ROAD                         ,40.5562408,-74.1825166
169 PRESENTATION CIRCLE                  ,40.5551402,-74.1844239
159 PRESENTATION CIRCLE                  ,40.5551402,-74.1844239
149 PRESENTATION CIRCLE                  ,40.5551402,-74.1844239
109 PRESENTATION CIRCLE                  ,40.5551402,-74.1844239
65 ILYSSA WAY                            ,40.560844,-74.181748
325 ASPEN KNOLLS WAY                     ,40.562285,-74.18335499999999
171 ASPEN KNOLLS WAY                     ,40.5625191,-74.18387059999999
62 BIANCA COURT                          ,40.564554,-74.183762
48 ILYSSA WAY                            ,40.5604019,-74.1813906
60 ILYSSA WAY                            ,40.5604207,-74.18166529999999
70 ILYSSA WAY                            ,40.56036700000001,-74.181866
86 ILYSSA WAY                            ,40.560357,-74.182052
166 ILYSSA WAY                           ,40.5601833,-74.1833053
202 ILYSSA WAY                           ,40.56021459999999,-74.1840237
216 ILYSSA WAY                           ,40.560011,-74.184162
226 ILYSSA WAY                           ,40.5601809,-74.1842509
228 ILYSSA WAY                           ,40.5601729,-74.1843209
236 ILYSSA WAY                           ,40.560044,-74.1843559
286 ILYSSA WAY                           ,40.5600781,-74.1852042
314 ILYSSA WAY                           ,40.559931,-74.185386
382 ILYSSA WAY                           ,40.559781,-74.18632590000001
402 ILYSSA WAY                           ,40.55981,-74.18659699999999
668 ILYSSA WAY                           ,40.5628024,-74.18723949999999
708 ILYSSA WAY                           ,40.5633941,-74.1873189
726 ILYSSA WAY                           ,40.563575,-74.1875249
348 ASPEN KNOLLS WAY                     ,40.56199,-74.183886
254 JAMIE LANE                           ,40.5615606,-74.184128
246 JAMIE LANE                           ,40.5617826,-74.1840921
176 JAMIE LANE                           ,40.56214540000001,-74.1850164
152 JAMIE LANE                           ,40.5624759,-74.184905
232 ASPEN KNOLLS WAY                     ,40.562636,-74.184736
40 JAMIE LANE                            ,40.563004,-74.18475699999999
214 ASPEN KNOLLS WAY                     ,40.5629987,-74.18456189999999
627 ILYSSA WAY                           ,40.5622297,-74.18673740000001
571 ILYSSA WAY                           ,40.561704,-74.1865849
569 ILYSSA WAY                           ,40.561658,-74.186577
553 ILYSSA WAY                           ,40.5613906,-74.18684379999999
217 EMILY LANE                           ,40.5615224,-74.18611469999999
185 EMILY LANE                           ,40.561375,-74.1858378
161 EMILY LANE                           ,40.5610576,-74.185722
223 JAMIE LANE                           ,40.561531,-74.18473399999999
97 JAMIE LANE                            ,40.5630616,-74.18532890000002
63 JAMIE LANE                            ,40.5632723,-74.185131
47 AMANDA COURT                          ,40.5640009,-74.184856
26 ASPEN KNOLLS WAY                      ,40.5642211,-74.1846697
36 AMANDA COURT                          ,40.563975,-74.185632
1340 ARTHUR KILL ROAD                    ,40.5642489,-74.18539600000001
521 ILYSSA WAY                           ,40.5611474,-74.1867292
493 ILYSSA WAY                           ,40.5608549,-74.18649599999999
317 ILYSSA WAY                           ,40.560495,-74.18562299999999
321 JAMIE LANE                           ,40.5604137,-74.1843019
279 JAMIE LANE                           ,40.5610357,-74.18430959999999
277 JAMIE LANE                           ,40.5610406,-74.18436729999999
120 EMILY LANE                           ,40.56066,-74.18566299999999
144 EMILY LANE                           ,40.560898,-74.186054
154 EMILY LANE                           ,40.5609681,-74.1859849
182 EMILY LANE                           ,40.5612518,-74.1861435
1566 ARTHUR KILL ROAD                    ,40.562074,-74.19207999999999
33 REGINA LANE                           ,40.5538428,-74.1850278
30 REGINA LANE                           ,40.5536315,-74.1853194
18 SUSANNA LANE                          ,40.5529745,-74.1862324
26 LINDA LANE                            ,40.5535722,-74.1867606
51 ARDEN AVENUE                          ,40.558093,-74.196366
1784 ARTHUR KILL ROAD                    ,40.558889,-74.19728099999999
63 ALMOND STREET                         ,40.5507041,-74.19011619999999
661 WOODROW ROAD                         ,40.548959,-74.189037
93 HOLCOMB AVENUE                        ,40.548267,-74.19200599999999
111 HOLCOMB AVENUE                       ,40.54857,-74.19260899999999
128 HOLCOMB AVENUE                       ,40.5483516,-74.1930836
15 BELFIELD AVENUE                       ,40.547858,-74.193795
33 HAMPTON GREEN                         ,40.5543391,-74.1934194
35 HAMPTON GREEN                         ,40.554296,-74.19332399999999
73 HAMPTON GREEN                         ,40.553595,-74.193978
147 HAMPTON GREEN                        ,40.552591,-74.19573
181 HAMPTON GREEN                        ,40.552721,-74.19660999999999
189 HAMPTON GREEN                        ,40.552783,-74.196743
34 PRINCETON LANE                        ,40.553316,-74.197255
