ADDRESS,ZIP CODE,lat,lng
309 WEST 29TH   STREET                   ,10001,40.749534,-73.996301
307 WEST 29TH   STREET                   ,10001,40.7495059,-73.996231
217 WEST 15TH STREET                     ,10011,40.739797,-73.99987999999999
116 7 AVENUE                             ,10011,40.7404409,-73.998634
204 WEST 17TH   STREET                   ,10011,40.740497,-73.99876
152 7 AVENUE                             ,10011,40.741859,-73.997653
288 8TH AVENUE                           ,10001,40.7462078,-73.9975094
119 WEST 15TH   STREET                   ,10011,40.73863,-73.9971149
117 WEST 15TH   STREET                   ,10011,40.7385842,-73.9970211
142 WEST 19TH STREET                     ,10011,40.741056,-73.99660399999999
793 SIXTH AVENUE                         ,10001,40.7454061,-73.9912447
551 WEST 21ST   STREET                   ,10011,40.7474317,-74.0071717
434-436 WEST 19TH STREET                 ,10011,40.7445849,-74.0048161
416 WEST 23RD   STREET                   ,10011,40.746559,-74.00219799999999
412 WEST 25TH   STREET                   ,10001,40.74791800000001,-74.00131999999999
330 WEST 30TH STREET                     ,10001,40.7501186,-73.9970059
370 WEST 30TH STREET                     ,10001,40.750595,-73.9979318
232-262 WEST 19TH STREET                 ,10011,40.7421388,-73.9986406
258 WEST 22ND   STREET                   ,10011,40.744082,-73.99828699999999
229 7 AVENUE                             ,10011,40.7442871,-73.9951068
"434 WEST 20TH STREET, 4/5                ",10011,40.745101,-74.004464
"427 WEST 21ST STREET, PLR                ",10011,40.7464969,-74.0094471
"409 WEST 21ST STREET, 3                  ",10011,40.745646,-74.002729
"403 WEST 21ST STREET, 3W                 ",10011,40.7455343,-74.0025646
"467 WEST 22ND STREET, D                  ",10011,40.746859,-74.003637
"467 WEST 22ND STREET, F                  ",10011,40.746859,-74.003637
"453 WEST 22ND STREET, 1R                 ",10011,40.7467169,-74.00330199999999
"451 WEST 22ND STREET, 2R                 ",10011,40.7467122,-74.0033373
"419 WEST 22ND STREET, 1                  ",10011,40.746303,-74.002315
"430 WEST 23RD STREET, E                  ",10011,40.746771,-74.002703
430 W 23RD                               ,10011,40.746771,-74.002703
"434 WEST 23RD STREET, A                  ",10011,40.746811,-74.002797
"450 WEST 23RD   STREET, D                ",10011,40.747079,-74.00343200000002
"456 WEST 23RD STREET, 3F                 ",10011,40.7472271,-74.0036372
"458 WEST 23RD   STREET, 3B/4B            ",10011,40.74719899999999,-74.003722
"460 WEST 23RD   STREET, 3A               ",10011,40.7472958,-74.00378169999999
"460 WEST 23RD   STREET, BR               ",10011,40.7472958,-74.00378169999999
"408 WEST 25TH STREET, 4FW                ",10001,40.75368539999999,-73.9991637
"410 WEST 25TH STREET, 3A                 ",10001,40.7478679,-74.001201
"321 WEST 14TH STREET, ROOF               ",10014,40.7366138,-74.0094471
"328 WEST 17TH   STREET, 1R               ",10011,40.7420329,-74.0024802
"330 WEST 17TH STREET, 5E                 ",10011,40.742027,-74.00255
"332 WEST 17TH STREET, 3R                 ",10011,40.742062,-74.002628
"334 WEST 17TH  STREET, 1W                ",10011,40.7420959,-74.002707
"310 WEST 18TH STREET, 4B                 ",10011,40.742316,-74.0014209
"314 WEST 19TH STREET, 4A                 ",10011,40.7429981,-74.0011722
"340 WEST 19TH ST, 25                     ",10011,40.743389,-74.002138
"340 WEST 19TH STREET, 16                 ",10011,40.743389,-74.002138
"340 WEST 19TH STREET, 9/10               ",10011,40.743389,-74.002138
"365 WEST 19TH STREET, 3R                 ",10011,40.7439294,-74.0026407
"360 WEST 21ST STREET, 3K                 ",10011,40.74488300000001,-74.00216689999999
"360 WEST 21ST STREET, 4A                 ",10011,40.74488300000001,-74.00216689999999
"337 WEST 20TH STREET, 1B                 ",10011,40.744317,-74.001402
"311 WEST 20TH STREET, 1                  ",10011,40.7438486,-74.0005424
"309 WEST 20TH STREET, 6F                 ",10011,40.7438072,-74.0004577
307 W 20TH                               ,10011,40.7437858,-74.0003859
"309 WEST 20TH STREET, 8F                 ",10011,40.7438072,-74.0004577
"361 WEST 21ST STREET, 2F                 ",10011,40.7451833,-74.00193870000001
"345 WEST 21ST STREET, 2C                 ",10011,40.74505,-74.00129299999999
"333 WEST 21ST STREET, 1FE                ",10011,40.7464969,-74.0094471
"333 WEST 21ST STREET, 1RW                ",10011,40.7464969,-74.0094471
"331 WEST 21ST STREET, FW                 ",10011,40.7464969,-74.0094471
"325 WEST 21ST   STREET, 6                ",10011,40.744753,-74.000586
"325 WEST 21ST STREET, 19                 ",10011,40.744753,-74.000586
"334 WEST 22ND STREET, 8                  ",10011,40.745073,-74.000615
"347 WEST 22ND STREET, 4                  ",10011,40.745619,-74.00072999999999
"354 WEST 23RD STREET, 1A                 ",10011,40.745931,-74.000734
"354 WEST 23RD STREET, GC                 ",10011,40.7464969,-74.0094471
"356 WEST 23RD STREET, 3A                 ",10011,40.7460239,-74.0007913
"356 WEST 23RD   STREET, 1BC              ",10011,40.7464969,-74.0094471
"214 WEST 16TH STREET, 4S                 ",10011,40.740056,-73.999723
"228 WEST 16TH   STREET, 3B               ",10011,40.740286,-74.000276
"227 WEST 16TH   STREET, 1/2WF            ",10011,40.7464969,-74.0094471
"227 WEST 16TH STREET, 1EF                ",10011,40.7464969,-74.0094471
"228 WEST 21ST STREET, 7                  ",10011,40.743194,-73.99806600000001
"256-260 WEST 21ST STREET, 4N             ",10011,40.7436691,-73.9989693
"261 WEST 22ND   STREET, 23               ",10011,40.744476,-73.998026
"261 WEST 22ND STREET, 6                  ",10011,40.744476,-73.998026
"261 WEST 22ND STREET, 25/26              ",10011,40.744476,-73.998026
"261 WEST 22, 19                          ",10011,40.744476,-73.998026
"261 WEST 22, 2                           ",10011,40.744476,-73.998026
"261 WEST 22ND STREET, 31                 ",10011,40.744476,-73.998026
"127 WEST 15TH, 2R                        ",10011,40.738738,-73.997372
"136 WEST 16TH ST, 1FW                    ",10011,40.7464969,-74.0094471
"140 WEST 16TH STREET, 2E                 ",10011,40.739229,-73.997777
"140 WEST 16TH STREET, 5E                 ",10011,40.739229,-73.997777
"520 WEST 23RD STREET, 9B                 ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 2H                 ",10011,40.7478915,-74.005149
"520 WEST 23RD   STREET, 3B               ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 6G                 ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 6F                 ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 3G                 ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 10G                ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 16B                ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 14F                ",10011,40.7478915,-74.005149
"520 WEST 23RD STREET, 9D                 ",10011,40.7478915,-74.005149
"453 WEST 19TH STREET, 4A                 ",10011,40.745099,-74.005077
"423 WEST 22ND   STREET, 4R               ",10011,40.74635,-74.002422
"400 WEST 23RD STREET, 2L                 ",10011,40.746365,-74.001735
"410 W. 23RD STREET, 2/3D                 ",10011,40.7464901,-74.0018758
"300 WEST 17TH STREET, 5C                 ",10011,40.7416505,-74.0014553
"319 WEST 18TH STREET, 1G                 ",10011,40.742889,-74.00164
"319 WEST 18TH STREET, 2B                 ",10011,40.742889,-74.00164
"319 WEST 18TH STREET, 6I                 ",10011,40.742889,-74.00164
"319 WEST 18TH STREET, 4H                 ",10011,40.742889,-74.00164
"365 W 20TH STREET, 10C                   ",10011,40.7445122,-74.00239080000001
"365 WEST 20TH STREET, 5C                 ",10011,40.7445122,-74.00239080000001
"365 WEST 20TH STREET, 5B                 ",10011,40.7445122,-74.00239080000001
"365 WEST 20TH STREET, 12D                ",10011,40.7445122,-74.00239080000001
"365 WEST 20TH STREET, 11C                ",10011,40.7445122,-74.00239080000001
"333 WEST 22ND STREET, 5D                 ",10011,40.745455,-74.000342
"350 WEST 24TH STREET, 19G                ",10011,40.7467095,-74.0006054
"315 WEST 23RD   STREET, 5E               ",10011,40.74582729999999,-73.9991407
"315 WEST 23RD STREET, 3C                 ",10011,40.74582729999999,-73.9991407
"315 WEST 23RD STREET, 6B                 ",10011,40.74582729999999,-73.9991407
"315 WEST 23RD STREET, 2D                 ",10011,40.74582729999999,-73.9991407
"321 WEST 24TH STREET, 17G                ",10011,40.7465004,-73.998651
"351 WEST 24TH STREET, 20C                ",10011,40.746761,-74.00029099999999
"321 WEST 24TH STREET, 11E                ",10011,40.7465004,-73.998651
"321 WEST 24TH STREET, 7E                 ",10011,40.7465004,-73.998651
"321 WEST 24TH STREET, 12G                ",10011,40.7465004,-73.998651
"311 WEST 24TH STREET, 4C                 ",10011,40.7464877,-73.9986667
"365 WEST 25TH STREET, 6F                 ",10001,40.747885,-73.9998086
"290 9TH AVENUE, 18D                      ",10001,40.7487959,-73.99918760000001
"355 8TH AVENUE, 6D                       ",10001,40.7481388,-73.9969469
"340 WEST 28TH STREET, 14E                ",10001,40.7488785,-73.9977219
"290 9TH AVENUE, 6A                       ",10001,40.7487959,-73.99918760000001
"355 8TH AVENUE, 4H                       ",10001,40.7481388,-73.9969469
"290 9TH AVENUE, 2G                       ",10001,40.7487959,-73.99918760000001
"340 WEST 28TH STREET, 15G                ",10001,40.7488785,-73.9977219
"280 9TH AVENUE, 18F                      ",10001,40.748573,-73.9993679
"290 9TH AVENUE, 2H                       ",10001,40.7487959,-73.99918760000001
"355 8TH AVENUE, 21E                      ",10001,40.7481388,-73.9969469
"365 WEST 28TH STREET, 10D                ",10001,40.7497026,-73.9984856
"365 WEST 28TH STREET, 1E                 ",10001,40.7497026,-73.9984856
"365 WEST 28TH STREET, 14D                ",10001,40.7497026,-73.9984856
"365 WEST 28TH STREET, 20D                ",10001,40.7497026,-73.9984856
"250 WEST 15, 2E                          ",10011,40.739939,-74.0013151
"250 WEST 16TH STREET, 3G                 ",10011,40.7406855,-74.0011598
"253 WEST 16TH   STREET, 1A               ",10011,40.7409871,-74.0007492
"253 WEST 16TH STREET, 2HI                ",10011,40.7464969,-74.0094471
"201 WEST 16TH STREET, 11F                ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 2F                 ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 4B                 ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 10G                ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 16B                ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 7E                 ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 8G                 ",10011,40.740135,-73.9989945
"201 WEST 16TH STREET, 14C                ",10011,40.740135,-73.9989945
"205 WEST 19TH   STREET, 6F               ",10011,40.742043,-73.997834
"252 WEST 20 STREET, 2B                   ",10011,40.74302400000001,-73.999467
"210 WEST 21ST STREET, 3FW                ",10011,40.7464969,-74.0094471
"234 WEST 21ST STREET, 61                 ",10011,40.743241,-73.998249
"234 WEST 21ST STREET, 24                 ",10011,40.743241,-73.998249
"234 WEST 21ST STREET, 3                  ",10011,40.743241,-73.998249
"233 WEST 21 STREET, 1A                   ",10011,40.743664,-73.998029
"233 WEST 21ST STREET, 2B                 ",10011,40.743664,-73.998029
"231 WEST 21ST STREET, 4E                 ",10011,40.7436167,-73.9979002
"231 WEST 21ST STREET, 4C                 ",10011,40.7436167,-73.9979002
"231 WEST 21ST STREET, 1A                 ",10011,40.7436167,-73.9979002
"221 WEST 21ST STREET, 1C                 ",10011,40.743447,-73.997517
"221 WEST 21ST STREET, 4D                 ",10011,40.743447,-73.997517
"201 WEST 21ST STREET, 10F                ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 15A                ",10011,40.7431395,-73.9969043
"201 WEST 21ST, 12G                       ",10011,40.7431395,-73.9969043
"201 W 21ST ST, 6D                        ",10011,40.7431395,-73.9969043
"201 WEST 21 STREET, 10B                  ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 9H                 ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 7A                 ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 6K                 ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 15F                ",10011,40.7431395,-73.9969043
"201 WEST 21ST STREET, 11H                ",10011,40.7431395,-73.9969043
"240 WEST 23RD STREET, PH7D               ",10011,40.7464969,-74.0094471
"255 WEST 23RD STREET, 4BE                ",10011,40.7464969,-74.0094471
"250 WEST 24TH STREET, 2CE                ",10011,40.7464969,-74.0094471
"250 WEST 24TH STREET, 3DE                ",10011,40.7464969,-74.0094471
"255 WEST 23RD STREET, 5GW                ",10011,40.7464969,-74.0094471
"250 WEST 24TH STREET, GAE                ",10011,40.5743777,-73.99084510000002
"250 WEST 24TH STREET, 4DE                ",10011,40.7464969,-74.0094471
"250 WEST 24 STREET, 4EE                  ",10011,40.7464969,-74.0094471
"250 WEST 24TH STREET, 2AW                ",10011,40.7464969,-74.0094471
"250 WEST 24TH STREET, 1CW                ",10011,40.7464969,-74.0094471
"255 WEST 23RD STREET, 4HE                ",10011,40.7464969,-74.0094471
"255 WEST 23RD STREET, 4CE                ",10011,42.3141341,-79.64750719999999
"255 WEST 23RD STREET, 4HW                ",10011,40.7464969,-74.0094471
"225 WEST 25TH STREET, 6H                 ",10001,40.7459751,-73.99554920000001
"225 WEST 25TH STREET, 2F                 ",10001,40.7459751,-73.99554920000001
"233 WEST 26TH   STREET, 6E               ",10001,40.746871,-73.995735
"233 WEST 26TH STREET, 9E                 ",10001,40.746871,-73.995735
"250 WEST 27TH STREET, 2C                 ",10001,40.74734309999999,-73.9961187
"77 SEVENTH AVENUE, 10G                   ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 21P                   ",10011,40.7387571,-73.9990978
"77 7TH AVENUE, 20NP                      ",10011,40.7464969,-74.0094471
"77 SEVENTH AVENUE, 14P                   ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 20C                   ",10011,40.7387571,-73.9990978
"77 7TH AVENUE, 17J                       ",10011,40.7387571,-73.9990978
"77 7TH AVENUE, 6J                        ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 10N                   ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 19M                   ",10011,40.7387571,-73.9990978
"77 7TH AVENUE, 2U                        ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 4R                    ",10011,40.7387571,-73.9990978
"77 SEVENTH AVENUE, 2AB                   ",10011,40.7464969,-74.0094471
"77 SEVENTH AVE, 15L                      ",10011,40.7387571,-73.9990978
"100 WEST 15TH STREET, 3-F                ",10011,40.7380266,-73.9963813
"100 WEST 15TH STREET, 3D                 ",10011,40.7380266,-73.9963813
"100 WEST 15TH STREET, 4G                 ",10011,40.7380266,-73.9963813
"161 WEST 15TH STREET, 5F                 ",10011,40.7393302,-73.9986953
"161 WEST 15TH STREET, 6E                 ",10011,40.7393302,-73.9986953
"161 WEST 15TH STREET, 6C                 ",10011,40.7393302,-73.9986953
"161 WEST 15TH STREET, 7H                 ",10011,40.7393302,-73.9986953
"147 WEST 15TH STREET, 5N                 ",10011,40.739028,-73.99806
"130 WEST 16 STREET, 7                    ",10011,40.7391099,-73.99748199999999
"130 WEST 16TH STREET, 54                 ",10011,40.7391099,-73.99748199999999
"575 6TH AVENUE, 9A                       ",10011,40.738932,-73.9960569
"141 WEST 17TH STREET, 2                  ",10011,40.7402243,-73.9970829
"145 WEST 17TH STREET, 4W                 ",10011,40.7401474,-73.9972502
"121 WEST 17TH STREET, 4A                 ",10011,40.7398589,-73.9963345
"154 WEST 18TH STREET, 6C                 ",10011,40.74061,-73.9973211
"154 WEST 18TH STREET, 2D                 ",10011,40.74061,-73.9973211
"139 WEST 19TH STREET, 8E                 ",10011,40.7413019,-73.996251
"165 WEST 20TH STREET, 2L                 ",10011,40.74201619999999,-73.99646469999999
"165 WEST 20TH STREET, 6G-H               ",10011,40.74201619999999,-73.99646469999999
"165 WEST 20TH STREET, 5A                 ",10011,40.74201619999999,-73.99646469999999
"155 WEST 20TH STREET, 6A                 ",10011,40.7421639,-73.9963219
"155 WEST 20TH STREET, 4C                 ",10011,40.7421639,-73.9963219
"143 WEST 21ST STREET, 5                  ",10011,40.7424597,-73.99529009999999
