Address,lat,lng
2837 GUNTHER AVENUE                      ,40.86816899999999,-73.8381969
2837 GUNTHER AVE                         ,40.86816899999999,-73.8381969
2823 GUNTHER AVENUE                      ,40.867503,-73.83788299999999
2814 TIEMANN AVENUE                      ,40.86725,-73.838127
2816 TIEMANN AVENUE                      ,40.867349,-73.83817599999999
1757 BARTOW AVENUE                       ,40.867301,-73.837102
2903 GRACE AVENUE                        ,40.870067,-73.8351737
2724 GUNTHER AVENUE                      ,40.866255,-73.83663899999999
2730 GUNTHER AVENUE                      ,40.8663791,-73.8366759
3382 ELY AVE                             ,40.8779305,-73.8396561
1271 EAST 222 STREET                     ,40.880198,-73.845044
1236 EAST 223 STREET                     ,40.880862,-73.845907
1260 EAST 223RD STREET                   ,40.8804744,-73.8448554
1255 EAST 223 STREET                     ,40.8809974,-73.8452719
1235 E 223                               ,40.8812285,-73.8458272
1145B EAST 223 STREET                    ,40.8824062,-73.84845829999999
1141 E 223RD STREET                      ,40.88256519999999,-73.84891619999999
1141 EAST 223 STREET                     ,40.88256519999999,-73.84891619999999
1153A E. 223RD STREET                    ,40.8822602,-73.8482037
1152 EAST 225TH STREET                   ,40.8832359,-73.847441
3538 BAYCHESTER AVENUE                   ,40.882575,-73.83909899999999
3538 BAYCHESTER AVE                      ,40.882575,-73.83909899999999
1159 GRENADA PLACE                       ,40.888349,-73.844078
3831 AMUNDSON AVENUE                     ,40.8875699,-73.835247
3697 SECOR AVENUE                        ,40.886635,-73.832748
3693 SECOR AVENUE                        ,40.88646900000001,-73.832764
3819 HARPER AVE                          ,40.888501,-73.833491
3710 HARPER AVENUE                       ,40.887352,-73.833049
2180 LIGHT STREET                        ,40.8877122,-73.83287039999999
3715 SECOR AVENUE                        ,40.887466,-73.832678
3731 ROMBOUTS AVENUE                     ,40.887329,-73.830541
3719 ROMBOUTS                            ,40.88705969999999,-73.8304285
3811 MERRITT AVENUE                      ,40.888249,-73.82967099999999
3629 PROVOST AVENUE                      ,40.8870859,-73.82859499999999
3933 WILDER AVENUE                       ,40.889667,-73.840805
2058 STRANG AVENUE                       ,40.890391,-73.840439
3935 MURDOCK AVENUE                      ,40.88970399999999,-73.83988599999999
3952 HILL AVENUE                         ,40.890315,-73.838577
3961 SETON AVENUE                        ,40.890783,-73.837435
3931 SETON AVE                           ,40.889734,-73.837036
3931 SETON AVENUE                        ,40.889734,-73.837036
3918 AMUNDSON AVENUE                     ,40.88974899999999,-73.835516
3964 AMUNDSON AVENUE                     ,40.89103,-73.83600799999999
3927 DURYEA AVENUE                       ,40.8899759,-73.83515229999999
4001 PRATT AVENUE                        ,40.891096,-73.8342
3934 PRATT AVE                           ,40.890284,-73.833927
3941 HARPER AVENUE                       ,40.8905109,-73.83338900000001
4042 SECOR AVENUE                        ,40.891939,-73.831628
