ADDRESS,ZIP CODE,lat,lng
418 BEACH 36 STREET                      ,11691,40.596839,-73.76854
422 BEACH 38TH STREET                    ,11691,40.596708,-73.770505
502 BEACH 43 STREET                      ,11691,40.5985919,-73.77482599999999
425 BEACH 43 STREET                      ,11691,40.596442,-73.77514099999999
425 BEACH 43RD STREET                    ,11691,40.596442,-73.77514099999999
459 BEACH 44TH STREET                    ,11691,40.5973745,-73.7761505
448 BEACH 48 STREET                      ,11691,40.5968457,-73.7790591
62-07 ALMEDA AVENUE                      ,11692,40.5972702,-73.7915897
6226 ELIZABETH ROAD                      ,11692,40.5960729,-73.7921159
603 BEACH 63 STREET                      ,11692,40.5973148,-73.7927713
623 BEACH 64TH STREET                    ,11692,40.5978695,-73.7939186
609 BEACH 64 STREET                      ,11692,40.597437,-73.7939899
6505A BAYFIELD AVE                       ,11692,40.59904299999999,-73.79660369999999
65-01 BAYFIELD AVENUE                    ,11692,40.59893,-73.794972
626 BEACH 67 STREET                      ,11692,40.59773,-73.79633799999999
641 BEACH 66TH                           ,11692,40.59819,-73.7960109
638 BEACH 68TH STREET                    ,11692,40.5980336,-73.7974292
637 BEACH 67 STREET                      ,11692,40.598003,-73.797022
505 BEACH 63 STREET                      ,11692,40.5953469,-73.792838
569 BEACH 64 STREET                      ,11692,40.597009,-73.79394599999999
532 BEACH 66 STREET                      ,11692,40.595902,-73.79513899999999
66-11 ALMEDA AVENUE                      ,11692,40.5968714,-73.7962545
549 BEACH 66 STREET                      ,11692,40.596419,-73.795823
5-62 BEACH 68 STREET                     ,11692,40.5966466,-73.7972834
523 BEACH 67 STREET                      ,11692,40.5956078,-73.79664269999999
546 BEACH 69 STREET                      ,11692,40.5961854,-73.79816989999999
5-59 BEACH 68 STREET                     ,11692,40.5965289,-73.79785
63-06 BEACH CHANNEL DRIVE                ,11692,40.593295,-73.792632
63-08 BEACH CHANNEL DRIVE                ,11692,40.593288,-73.792739
63-16 BEACH CHANNEL DRIVE                ,11692,40.593273,-73.79299999999999
407 BEACH 66 STREET                      ,11692,40.5932296,-73.7954146
443 BEACH 67 STREET                      ,11692,40.594128,-73.796612
68-10 BEACH CHANNEL DRIVE                ,11692,40.59296399999999,-73.797611
69-34 DECOSTA AVENUE                     ,11692,40.598355,-73.800049
69-47 DE COSTA AVENUE                    ,11692,40.597916,-73.800512
69-43 DE COSTA AVENUE                    ,11692,40.5979219,-73.800412
69-41 DECOSTA AVENUE                     ,11692,40.597928,-73.800315
6941 DECOSTA AVE                         ,11692,40.597928,-73.800315
69-17 DE COSTA AVENUE                    ,11692,40.597981,-73.7994329
637 BEACH 69TH STREET                    ,11692,40.597943,-73.798993
637 BEACH 69 STREET                      ,11692,40.597943,-73.798993
69-44 HILLMEYER AVENUE                   ,11692,40.597652,-73.80030119999999
69-43 HILLMEYER AVENUE                   ,11692,40.5972409,-73.800279
601 BEACH 69 STREET                      ,11692,40.596964,-73.798891
69-18 ALMEDA AVENUE                      ,11692,40.597022,-73.79935499999999
6938 ALMEDA AVE                          ,11692,40.5969728,-73.800076
69-54 ALMEDA AVENUE                      ,11692,40.5969345,-73.8006564
519 BEACH 69 STREET                      ,11692,40.5953771,-73.7986408
69-39 THURSBY AVENUE                     ,11692,40.594508,-73.799858
69-14 HESSLER AVENUE                     ,11692,40.5942939,-73.7988917
452 BEACH 72 STREET                      ,11692,40.59416119999999,-73.8006303
456 BEACH 72 STREET                      ,11692,40.594211,-73.800507
6940 GOUVERNEUR AVENUE                   ,11692,40.5935203,-73.800224
