Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
282-2621-100,135 E KEEFE AV,AP 1,1931,3.0,6,"6,490",Brick,12,1,0,"9,313",2015-07,"90,000",6701,6
282-2621-100,135 E KEEFE AV,AP 1,1931,3.0,6,"6,490",Brick,12,1,0,"9,313",2015-11,"220,000",6701,6
322-1113-000,2448 N 4TH ST,AP 1,1925,2.0,4,"4,901",Aluminum / Vinyl,10,1,0,"6,000",2015-10,"67,500",6701,6
275-0129-000,1134 E SINGER CR,AP 1,1956,2.0,4,"3,644",Brick,8,1,0,"7,560",2015-06,"245,000",6761,6
281-1814-000,3176 N BOOTH ST,AP 1,1906,2.0,4,"3,168",Frame,7,1,0,"3,600",2015-12,"165,000",6760,6
321-1627-000,526 E CLARKE ST,AP 1,1890,2.0,4,"2,748",Aluminum / Vinyl,6,1,0,"2,640",2015-09,"165,000",6760,6
273-1562-000,3866 N PORT WASHINGTON AV,AP 2,1927,2.0,8,"6,426",Brick,8,1,0,"7,000",2015-03,"112,000",6701,6
271-0473-100,1720 W ATKINSON AV,AP 2,1927,2.0,8,"6,154",Brick,8,1,0,"5,436",2015-08,"102,300",6690,6
268-0041-000,3705 N 38TH ST,AP 1,1948,2.0,4,"4,234",Brick,8,1,0,"11,900",2015-04,"160,000",6671,7
248-0804-000,4149 N SHERMAN BL,AP 1,1941,2.0,4,"2,824",Brick,4,1,0,"8,960",2015-12,"100,000",6671,7
435-0834-100,1249 S 29TH ST,AP 1,1912,2.0,4,"4,464",Aluminum / Vinyl,8,1,0,"8,750",2015-06,"110,000",6790,8
434-0609-000,906 S 25TH ST,AP 1,1904,2.0,4,"3,352",Aluminum / Vinyl,6,1,0,"4,900",2015-09,"79,000",6780,8
471-9995-000,1944 S 31ST ST,AP 1,1908,2.0,4,"2,974",Stucco,8,1,0,"4,800",2015-06,"84,000",6790,8
434-0713-000,906 S 26TH ST,Duplex O/S,1906,1.5,2,"1,556",Aluminum / Vinyl,5,2,0,0,2015-05,"188,000",6780,8
494-0166-000,2657 S 28TH ST,Rm or Rooming House,1899,1.5,7,"2,195",Frame,7,2,0,"3,750",2015-07,"88,000",6899,8
155-0029-100,6122 W FLORIST AV,AP 1,1961,2.0,4,"3,672",Brick,8,1,0,"9,605",2015-08,"134,000",6621,9
033-0181-000,8915 N 85TH ST,AP 1,1978,2.0,4,"3,658",Masonry / Frame,8,1,0,"13,550",2015-05,"143,500",6610,9
040-0131-000,8636 N 106TH ST,AP 1,1972,2.0,4,"3,604",Masonry / Frame,8,1,0,"9,600",2015-02,"128,000",6610,9
155-0204-100,6036 W KAUL AV,AP 2,1962,2.0,8,"6,528",Brick,16,1,0,"19,370",2015-10,"271,500",6621,9
155-0205-100,6020 W KAUL AV,AP 2,1962,2.0,8,"6,528",Brick,16,1,0,"19,370",2015-10,"266,500",6621,9
040-0144-000,8401 N GRANVILLE RD,AP 3,1972,2.0,12,"11,320",Masonry / Frame,24,1,0,"27,155",2015-06,"445,000",6870,9
421-0417-110,314 S 59TH ST,AP 1,1978,2.0,5,"4,328",Frame,7,1,0,"12,150",2015-12,"190,000",6800,10
264-0810-100,3828 N 76TH ST,AP 1,1961,2.0,6,"3,940",Brick,12,1,0,"7,080",2015-11,"170,000",6673,10
305-0277-000,6528 W CENTER ST,AP 1,1951,2.0,4,"3,802",Brick,8,1,0,"9,600",2015-12,"200,000",6660,10
403-9992-100,4521 W BLUE MOUND CT,AP 1,1880,2.0,4,"3,683",Stucco,6,1,0,"10,373",2015-09,"228,750",6801,10
304-0499-000,7524 W HADLEY ST,AP 1,1953,2.0,4,"3,450",Brick,8,1,0,"4,410",2015-10,"155,000",6660,10
265-0603-000,3815 N 60TH ST,AP 1,1951,2.0,4,"3,060",Brick,4,1,0,"8,920",2015-05,"99,000",6670,10
408-1083-000,135 N 91ST PL,AP 1,1942,2.0,4,"2,666",Brick,4,1,0,"5,824",2015-10,"217,500",6810,10
420-0251-000,205 S 65TH ST,AP 1,1953,2.0,4,"2,666",Brick,4,1,0,"7,440",2015-01,"195,000",6800,10
402-0131-100,502 N 39TH ST,AP 2,1929,2.0,8,"6,302",Brick,9,1,0,"7,950",2015-05,"265,000",6720,10
305-1049-000,6055 W APPLETON AV,AP 3,1954,2.0,12,"6,300",Brick,4,1,0,"15,588",2015-02,"210,000",6867,10
532-0218-000,3504 W LAKEFIELD DR,AP 1,1966,3.0,6,"6,372",Brick,10,1,0,"7,875",2015-05,"325,000",6840,11
558-0801-100,3890 S MASSACHUSETTS AV,AP 1,1959,2.0,4,"3,692",Brick,8,1,0,"9,696",2015-07,"210,000",6820,11
557-1402-000,6237 W NEBRASKA AV,AP 1,1979,2.0,4,"3,590",Masonry / Frame,8,1,0,"9,750",2015-04,"245,000",6820,11
528-1003-000,7251 W LAKEFIELD DR,AP 1,1957,2.0,4,"3,202",Brick,8,1,0,"13,000",2015-07,"247,750",6820,11
511-0615-000,3069 S 36TH ST,AP 1,1953,2.0,4,"3,114",Brick,8,1,0,"6,416",2015-06,"185,000",6840,11
528-1110-000,7312 W FERNWOOD CR,AP 1,1958,2.0,4,"3,055",Masonry / Frame,8,1,0,"8,911",2015-04,"235,000",6820,11
528-1112-000,7228 W HONEY CREEK DR,AP 1,1958,2.0,4,"3,055",Masonry / Frame,8,1,0,"9,794",2015-04,"250,000",6820,11
527-1021-000,7811 W OKLAHOMA AV,AP 2,1972,2.0,8,"7,156",Masonry / Frame,16,1,0,"19,110",2015-12,"472,000",6820,11
527-1033-000,7855 W OKLAHOMA AV,AP 2,1972,2.0,8,"7,156",Masonry / Frame,16,1,0,"19,110",2015-12,"440,000",6820,11
527-0360-100,7922 W MORGAN AV,AP 2,1962,2.0,8,"6,528",Brick,16,1,0,"17,028",2015-12,"445,000",6820,11
492-0907-000,2501 S 44TH ST,AP 2,1960,2.0,8,"4,960",Brick,8,1,0,"9,018",2015-04,"320,000",6830,11
531-0411-000,3160 S 48TH ST,AP 2,1952,2.0,8,"4,448",Brick,8,1,0,"9,500",2015-06,"392,500",6830,11
531-0452-000,3235 S 48TH ST,AP 2,1952,2.0,8,"4,448",Brick,8,1,0,"10,500",2015-02,"386,500",6830,11
559-0040-100,3534 S 77TH ST,AP 3,1960,2.0,12,"11,460",Brick,24,1,0,"29,500",2015-08,"785,000",6881,11
527-9954-000,8307 W OKLAHOMA AV,AP 3,1951,2.0,12,"11,377",Masonry / Frame,21,1,0,"26,900",2015-09,"675,000",6881,11
533-1036-100,3039 W RUSKIN CT,AP 3,1958,2.0,16,"10,090",Brick,16,1,0,"37,970",2015-05,"680,000",6880,11
512-0036-000,4926 W OKLAHOMA AV,AP 3,1952,2.0,12,"9,498",Brick,24,1,0,"16,194",2015-01,"680,000",6881,11
